,prime_award_unique_key,prime_award_piid,prime_award_amount,prime_award_base_action_date,prime_award_awarding_agency_code,prime_award_awarding_agency_name,prime_awardee_uei,prime_awardee_name,prime_awardee_zip_code
3800,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3801,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3802,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3803,CONT_AWD_693JJ322F00368N_6925_693JJ322A000005_6925,693JJ322F00368N,925137.58,2022-09-21,69,Department of Transportation (DOT),E9BSACNAJ7G1,"LEIDOS, INC.",201905617
3804,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3805,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3806,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3807,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3808,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3809,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3810,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3811,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3812,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3813,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3814,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3815,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3816,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3817,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3818,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
