,prime_award_unique_key,prime_award_piid,prime_award_amount,prime_award_base_action_date,prime_award_awarding_agency_code,prime_award_awarding_agency_name,prime_awardee_uei,prime_awardee_name,prime_awardee_zip_code
3950,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3951,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3952,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3953,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3954,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3955,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3956,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3957,CONT_AWD_693KA822C00001_6920_-NONE-_-NONE-,693KA822C00001,2000000000.0,2021-10-20,69,Department of Transportation (DOT),DMHDNDCPWUD1,THE MITRE CORPORATION,221027539
3958,CONT_AWD_693JJ321F000276_6925_693JJ320D000022_6925,693JJ321F000276,227613.59,2021-08-09,69,Department of Transportation (DOT),QLNMVC12KWY3,"LEIDOS, INC.",201905661
3959,CONT_AWD_693JJ322F00126N_6925_693JJ322A000005_6925,693JJ322F00126N,199156.71,2022-08-09,69,Department of Transportation (DOT),E9BSACNAJ7G1,"LEIDOS, INC.",201905617
3960,CONT_AWD_693JJ321F000219_6925_693JJ320D000022_6925,693JJ321F000219,498420.28,2021-07-08,69,Department of Transportation (DOT),QLNMVC12KWY3,"LEIDOS, INC.",201905661
3961,CONT_AWD_693JJ321F000219_6925_693JJ320D000022_6925,693JJ321F000219,498420.28,2021-07-08,69,Department of Transportation (DOT),QLNMVC12KWY3,"LEIDOS, INC.",201905661
3962,CONT_AWD_693JJ321F000219_6925_693JJ320D000022_6925,693JJ321F000219,498420.28,2021-07-08,69,Department of Transportation (DOT),QLNMVC12KWY3,"LEIDOS, INC.",201905661
3963,CONT_AWD_693JJ321F000219_6925_693JJ320D000022_6925,693JJ321F000219,498420.28,2021-07-08,69,Department of Transportation (DOT),QLNMVC12KWY3,"LEIDOS, INC.",201905661
3964,CONT_AWD_693JJ322F00111N_6925_693JJ322A000005_6925,693JJ322F00111N,233967.5,2022-08-09,69,Department of Transportation (DOT),E9BSACNAJ7G1,"LEIDOS, INC.",201905617
3965,CONT_AWD_693JJ322F00111N_6925_693JJ322A000005_6925,693JJ322F00111N,233967.5,2022-08-09,69,Department of Transportation (DOT),E9BSACNAJ7G1,"LEIDOS, INC.",201905617
3966,CONT_AWD_693JJ322F00295N_6925_693JJ320D000022_6925,693JJ322F00295N,550731.4,2022-09-02,69,Department of Transportation (DOT),QLNMVC12KWY3,"LEIDOS, INC.",201905661
3967,CONT_AWD_693JJ322F00398N_6925_693JJ322D000002_6925,693JJ322F00398N,324391.43,2022-09-21,69,Department of Transportation (DOT),QLNMVC12KWY3,"LEIDOS, INC.",201905661
3968,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
3969,CONT_AWD_693JJ320F000446_6925_47QRAD20D1015_4732,693JJ320F000446,1124846.49,2020-09-21,69,Department of Transportation (DOT),NN49A4HGVWT5,"R & K ENTERPRISE SOLUTIONS, INC.",236062568
3970,CONT_AWD_693JJ320F000446_6925_47QRAD20D1015_4732,693JJ320F000446,1124846.49,2020-09-21,69,Department of Transportation (DOT),NN49A4HGVWT5,"R & K ENTERPRISE SOLUTIONS, INC.",236062568
3971,CONT_AWD_693JJ320F000446_6925_47QRAD20D1015_4732,693JJ320F000446,1124846.49,2020-09-21,69,Department of Transportation (DOT),NN49A4HGVWT5,"R & K ENTERPRISE SOLUTIONS, INC.",236062568
